BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Status
0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,8.0,0.0,14.0,35.4907045492,Good
1,2000,31140.0,62250.0,HomeImp,Sales,16.0,0.0,0.0,10.0,0.0,13.0,31.317361143200003,Default
1,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,10.0,1.0,9.0,34.3988901898,Default
1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,10.0,1.0,22.0,34.8456969822,Default
0,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,8.0,0.0,13.0,31.588503178,Good
1,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,13.0,1.0,0.0,30.887777522400008,Default
1,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,6.0,2.0,22.0,31.554782791999997,Default
1,2400,18000.0,38398.0,HomeImp,Mgr,22.0,0.0,2.0,10.0,0.0,10.0,37.4270406658,Default
1,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,6.0,1.0,21.0,38.263600731,Default
0,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,8.0,0.0,13.0,29.681827045,Good
0,2500,7229.0,44516.0,HomeImp,Self,6.0,0.0,0.0,17.0,0.0,12.0,25.0312156024,Good
0,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,21.0,0.0,12.0,25.9828557624,Good
1,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,12.0,3.0,42.0,29.3913472416,Default
1,2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,14.0,2.0,26.0,25.505419120000003,Default
0,2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,8.0,0.0,13.0,30.051136286,Good
0,2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,8.0,0.0,13.0,29.915859028,Good
1,2900,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,24.0,3.0,37.0,49.20639579,Default
0,3000,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,7.0,0.0,14.0,32.059783267,Good
1,3000,47000.0,82700.0,HomeImp,ProfExe,10.0,0.0,1.0,22.0,5.0,26.0,27.756630831000003,Default
1,3000,34542.0,45900.0,HomeImp,Mgr,8.0,0.0,2.0,5.0,0.0,10.0,29.069115794800002,Default
0,3000,58000.0,71500.0,HomeImp,Mgr,10.0,0.6,2.0,18.0,0.0,25.0,32.336468171199996,Good
0,3000,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0,17.0,0.0,20.0,39.649508710999996,Good
0,3200,67848.0,74566.0,HomeImp,Mgr,10.0,0.0,1.0,17.0,0.0,25.0,40.115677278,Good
1,3200,48603.0,61000.0,HomeImp,ProfExe,28.0,0.0,4.0,10.0,1.0,25.0,36.026566219,Default
0,3200,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0,21.0,0.0,12.0,42.909997351,Good
1,3200,23159.0,55059.0,HomeImp,Mgr,20.0,0.0,2.0,10.0,0.0,9.0,14.345367488000003,Default
1,3300,126541.0,134527.0,HomeImp,Sales,9.0,1.0,0.0,12.0,0.0,36.0,29.3538680952,Default
1,3400,37000.0,52000.0,HomeImp,Office,2.0,0.0,1.0,15.0,0.0,6.0,36.69757138679999,Default
1,3600,61584.0,61800.0,HomeImp,ProfExe,10.0,0.0,0.6,11.0,1.0,19.0,23.1875184728,Default
1,3600,41900.0,52490.0,HomeImp,Mgr,3.0,0.0,0.0,6.0,2.0,4.0,31.890095036,Default
0,3600,83700.0,111800.0,HomeImp,ProfExe,6.0,0.0,0.0,16.0,1.0,28.0,35.9825583622,Good
0,3600,61327.0,76484.0,HomeImp,Mgr,9.0,0.0,2.0,17.0,0.0,25.0,41.516389699,Good
0,3600,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0,7.0,0.0,14.0,29.393543382,Good
1,3600,48507.0,61000.0,DebtCon,Office,13.0,1.0,4.0,8.0,0.0,17.0,36.026566219,Default
0,3600,52337.0,63989.0,HomeImp,Office,20.0,0.0,0.0,17.0,0.0,20.0,20.470915508,Good
1,3800,19135.0,97692.0,HomeImp,Mgr,2.0,1.0,6.0,21.0,1.0,25.0,17.411370433800002,Default
0,3800,51180.0,63459.0,HomeImp,Office,20.0,0.0,0.0,17.0,0.0,20.0,20.067042051,Good
0,3800,11543.0,46045.0,HomeImp,Self,10.0,0.0,0.0,17.0,0.0,11.0,42.173165882,Good
