BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Status
0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.33,0.0,14.0,34.82,Good
1,2000,65019.0,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,34.82,Default
1,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53,1.0,9.0,34.82,Default
1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,34.82,Default
0,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.99,0.0,13.0,31.59,Good
1,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,173.47,1.0,0.0,34.82,Default
1,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,34.82,Default
1,2400,18000.0,89235.5,HomeImp,Mgr,22.0,0.0,2.0,121.73,0.0,10.0,34.82,Default
1,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0.0,0.0,70.49,1.0,21.0,38.26,Default
0,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.81,0.0,13.0,29.68,Good
0,2500,7229.0,44516.0,HomeImp,Self,7.0,0.0,0.0,208.0,0.0,12.0,34.82,Good
0,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.73,0.0,12.0,34.82,Good
1,2800,50795.0,63100.0,HomeImp,Self,26.0,2.0,15.0,145.63,3.0,42.5,34.82,Default
1,2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.33,2.0,26.0,34.82,Default
0,2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.1,0.0,13.0,30.05,Good
0,2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.54,0.0,13.0,29.92,Good
1,2900,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,282.8,3.0,37.0,49.21,Default
0,3000,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,85.88,0.0,14.0,32.06,Good
1,3000,47000.0,82700.0,HomeImp,ProfExe,10.0,0.0,1.0,262.17,5.0,26.0,34.82,Default
1,3000,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,2.0,62.37,0.0,10.0,34.82,Default
0,3000,58000.0,71500.0,HomeImp,Mgr,10.0,0.0,2.0,211.93,0.0,25.0,34.82,Good
0,3000,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0,201.87,0.0,20.0,34.82,Good
0,3200,67848.0,74566.0,HomeImp,Mgr,10.0,0.0,1.0,206.43,0.0,25.0,40.12,Good
1,3200,48603.0,61000.0,HomeImp,ProfExe,28.0,0.0,4.0,122.03,1.0,25.0,34.82,Default
0,3200,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0,250.63,0.0,12.0,42.91,Good
